2023-01-24 15:56:07,552 INFO    Thread-31 :13086 [wandb_setup.py:_flush():68] Configure stats pid to 13086
2023-01-24 15:56:07,553 INFO    Thread-31 :13086 [wandb_setup.py:_flush():68] Loading settings from /home/robotlabx/.config/wandb/settings
2023-01-24 15:56:07,553 INFO    Thread-31 :13086 [wandb_setup.py:_flush():68] Loading settings from /home/robotlabx/mtl-world/wandb/settings
2023-01-24 15:56:07,553 INFO    Thread-31 :13086 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True', 'entity': 'wandbdimar', 'project': 'MTLwarehouse-Sweep', 'root_dir': '/home/robotlabx/mtl-world', 'run_id': '4qw0pzla', 'sweep_param_path': '/home/robotlabx/mtl-world/wandb/sweep-3nyn3l0x/config-4qw0pzla.yaml', 'sweep_id': '3nyn3l0x'}
2023-01-24 15:56:07,553 INFO    Thread-31 :13086 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train_model.py', 'program': '/home/robotlabx/mtl-world/train_model.py'}
2023-01-24 15:56:07,553 INFO    Thread-31 :13086 [wandb_init.py:_log_setup():478] Logging user logs to /home/robotlabx/mtl-world/wandb/run-20230124_155607-4qw0pzla/logs/debug.log
2023-01-24 15:56:07,553 INFO    Thread-31 :13086 [wandb_init.py:_log_setup():479] Logging internal logs to /home/robotlabx/mtl-world/wandb/run-20230124_155607-4qw0pzla/logs/debug-internal.log
2023-01-24 15:56:07,554 INFO    Thread-31 :13086 [wandb_init.py:init():518] calling init triggers
2023-01-24 15:56:07,554 INFO    Thread-31 :13086 [wandb_init.py:init():521] wandb.init called with sweep_config: {'training.learning_rate': 0.005528261200375371, 'training.optimizer': 'adam'}
config: {'data': {'path': 'dataset', 'dataset': 'nyuv2', 'augmentation.trigger': False, 'batch_size': 32, 'input_size': None}, 'network': {'tasks': 'all', 'weighting': 'equal', 'backbone': 'ResNet', 'mtl_architecture': 'Split', 'pretrained': False, 'grad_method': None}, 'training': {'epochs': 10, 'optimizer_o': 'sgd', 'learning_rate': 0.005528261200375371, 'weight_decay': 1e-05, 'early_stop': False, 'scheduler': 'multisteplr', 'step': 10, 'loss_function': 'cross_entropy', 't_checkpoint': False, 'o_checkpoint': None, 'optimizer': 'adam'}, 'reproduceability': {'t_seed': True, 'o_seed': 29}, 'wandb': {'t_logger': True, 'project_name': 'MTLwarehouse', 'entity': 'wandbdimar'}, 'sweep': {'sweep_t': True, 'sweep_o': 'configs/sweep_config.yaml'}}
2023-01-24 15:56:07,554 INFO    Thread-31 :13086 [wandb_init.py:init():566] wandb.init() called when a run is still active
2023-01-24 16:12:28,395 INFO    Thread-31 :13086 [wandb_run.py:_finish():1844] finishing run wandbdimar/MTLwarehouse-Sweep/4qw0pzla
2023-01-24 16:12:28,396 INFO    Thread-31 :13086 [wandb_run.py:_atexit_cleanup():2070] got exitcode: 0
2023-01-24 16:12:28,396 INFO    Thread-31 :13086 [wandb_run.py:_restore():2053] restore
2023-01-24 16:12:28,396 INFO    Thread-31 :13086 [wandb_run.py:_restore():2059] restore done
2023-01-24 16:12:35,563 INFO    Thread-31 :13086 [wandb_run.py:_footer_history_summary_info():3427] rendering history
2023-01-24 16:12:35,564 INFO    Thread-31 :13086 [wandb_run.py:_footer_history_summary_info():3459] rendering summary
2023-01-24 16:12:35,566 INFO    Thread-31 :13086 [wandb_run.py:_footer_sync_info():3383] logging synced files
2023-01-24 16:12:40,005 INFO    Thread-34 :13086 [wandb_setup.py:_flush():68] Configure stats pid to 13086
2023-01-24 16:12:40,005 INFO    Thread-34 :13086 [wandb_setup.py:_flush():68] Loading settings from /home/robotlabx/.config/wandb/settings
