2023-01-24 16:33:01,305 INFO    MainThread:18938 [wandb_setup.py:_flush():68] Configure stats pid to 18938
2023-01-24 16:33:01,306 INFO    MainThread:18938 [wandb_setup.py:_flush():68] Loading settings from /home/robotlabx/.config/wandb/settings
2023-01-24 16:33:01,306 INFO    MainThread:18938 [wandb_setup.py:_flush():68] Loading settings from /home/robotlabx/mtl-world/wandb/settings
2023-01-24 16:33:01,306 INFO    MainThread:18938 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-24 16:33:01,306 INFO    MainThread:18938 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train_model.py', 'program': '/home/robotlabx/mtl-world/train_model.py'}
2023-01-24 16:33:01,306 INFO    MainThread:18938 [wandb_init.py:_log_setup():478] Logging user logs to /home/robotlabx/mtl-world/wandb/run-20230124_163301-3gps06co/logs/debug.log
2023-01-24 16:33:01,306 INFO    MainThread:18938 [wandb_init.py:_log_setup():479] Logging internal logs to /home/robotlabx/mtl-world/wandb/run-20230124_163301-3gps06co/logs/debug-internal.log
2023-01-24 16:33:01,306 INFO    MainThread:18938 [wandb_init.py:init():518] calling init triggers
2023-01-24 16:33:01,307 INFO    MainThread:18938 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {'data': {'path': 'dataset', 'dataset': 'sim_warehouse', 'augmentation.trigger': False, 'batch_size': 32, 'input_size': None}, 'network': {'tasks': 'all', 'weighting': 'equal', 'backbone': 'DDRNet', 'mtl_architecture': 'Split', 'pretrained': False, 'grad_method': None}, 'training': {'epochs': 10, 'optimizer_o': 'sgd', 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'early_stop': False, 'scheduler': 'multisteplr', 'step': 10, 'loss_function': 'cross_entropy', 't_checkpoint': False, 'o_checkpoint': None}, 'reproduceability': {'t_seed': True, 'o_seed': 29}, 'wandb': {'t_logger': True, 'project_name': 'MTLwarehouse', 'entity': 'wandbdimar'}, 'sweep': {'sweep_t': False, 'sweep_o': 'configs/sweep_config.yaml'}}
2023-01-24 16:33:01,307 INFO    MainThread:18938 [wandb_init.py:init():571] starting backend
2023-01-24 16:33:01,307 INFO    MainThread:18938 [wandb_init.py:init():575] setting up manager
2023-01-24 16:33:01,310 INFO    MainThread:18938 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-01-24 16:33:01,312 INFO    MainThread:18938 [wandb_init.py:init():582] backend started and connected
2023-01-24 16:33:01,317 INFO    MainThread:18938 [wandb_init.py:init():670] updated telemetry
2023-01-24 16:33:01,326 INFO    MainThread:18938 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-24 16:33:01,808 INFO    MainThread:18938 [wandb_run.py:_on_init():2121] communicating current version
2023-01-24 16:33:01,988 INFO    MainThread:18938 [wandb_run.py:_on_init():2125] got version response 
2023-01-24 16:33:01,988 INFO    MainThread:18938 [wandb_init.py:init():758] starting run threads in backend
2023-01-24 16:33:03,253 INFO    MainThread:18938 [wandb_run.py:_console_start():2101] atexit reg
2023-01-24 16:33:03,253 INFO    MainThread:18938 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-24 16:33:03,253 INFO    MainThread:18938 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-24 16:33:03,253 INFO    MainThread:18938 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-24 16:33:03,254 INFO    MainThread:18938 [wandb_init.py:init():798] run started, returning control to user process
2023-01-24 16:33:12,048 WARNING MsgRouterThr:18938 [router.py:message_loop():77] message_loop has been closed
